run,phase,role,grpo_step,optimizer_step,rollout_epoch,token_entropy,grad_norm,loss,clip_fraction,approx_kl,rollout_avg_response_token_length,rollout_answer_accuracy,rollout_format_accuracy
on_policy_reference_e1_tb256,focused,on_policy_reference,53,53,1,0.08635330200195312,0.21484375,-0.002421444823994534,,,318.34765625,0.75390625,0.9453125
on_policy_reference_e1_tb256,focused,on_policy_reference,54,54,1,0.103759765625,0.4453125,-0.008655435343825957,,,268.71484375,0.62109375,0.96875
on_policy_reference_e1_tb256,focused,on_policy_reference,55,55,1,0.13095474243164062,0.3671875,0.0022804300897405483,,,309.01953125,0.80859375,0.96875
on_policy_reference_e1_tb256,focused,on_policy_reference,56,56,1,0.10289764404296875,0.375,-0.0031443442858289927,,,327.51171875,0.65234375,0.9296875
on_policy_reference_e1_tb256,focused,on_policy_reference,57,57,1,0.12189912796020508,0.58984375,-0.004513504361966625,,,262.82421875,0.72265625,0.98046875
on_policy_reference_e1_tb256,focused,on_policy_reference,58,58,1,0.0970306396484375,0.66015625,-0.007248292728036176,,,315.66015625,0.6953125,0.94921875
on_policy_reference_e1_tb256,focused,on_policy_reference,59,59,1,0.09579086303710938,0.8984375,-0.013409546998445876,,,290.23828125,0.7109375,0.9765625
on_policy_reference_e1_tb256,focused,on_policy_reference,60,60,1,0.33509063720703125,1.1953125,-0.0054042212723288685,,,320.08203125,0.55859375,0.95703125
on_policy_reference_e1_tb256,focused,on_policy_reference,61,61,1,0.14057350158691406,1.5234375,-0.019747148326132447,,,270.53515625,0.75390625,0.98828125
on_policy_reference_e1_tb256,focused,on_policy_reference,62,62,1,1.0724639892578125,2.296875,-0.02830524553428404,,,285.17578125,0.76171875,0.97265625
on_policy_reference_e1_tb256,focused,on_policy_reference,63,63,1,0.5448532104492188,2.0,-0.015957799230818637,,,235.140625,0.7109375,0.984375
on_policy_reference_e1_tb256,focused,on_policy_reference,64,64,1,1.950897216796875,8.0,-0.023791463463567197,,,319.0703125,0.59765625,0.9375
on_policy_reference_e1_tb256,focused,on_policy_reference,65,65,1,3.83245849609375,1.453125,-0.01897982379887253,,,281.90625,0.70703125,0.9609375
on_policy_reference_e1_tb256,focused,on_policy_reference,66,66,1,4.290283203125,1.1171875,-0.019277448998764157,,,281.60546875,0.765625,0.9765625
on_policy_reference_e1_tb256,focused,on_policy_reference,67,67,1,2.785675048828125,2.21875,-0.06888827419606969,,,344.40625,0.62109375,0.94921875
on_policy_reference_e1_tb256,focused,on_policy_reference,68,68,1,0.05105304718017578,0.71484375,-0.007327760416956153,,,305.71875,0.68359375,0.96484375
on_policy_reference_e1_tb256,focused,on_policy_reference,69,69,1,0.04211139678955078,0.68359375,-0.003955489046347793,,,287.97265625,0.8125,0.9765625
on_policy_reference_e1_tb256,focused,on_policy_reference,70,70,1,0.11717605590820312,2.984375,0.005891999593586661,,,307.00390625,0.7109375,0.9609375
on_policy_reference_e1_tb256,focused,on_policy_reference,71,71,1,4.109954833984375,1.59375,0.004708929714979604,,,382.859375,0.48046875,0.9375
on_policy_reference_e1_tb256,focused,on_policy_reference,72,72,1,2.7313308715820312,2.015625,-0.03835749777499586,,,296.28515625,0.71484375,0.9609375
on_policy_reference_e1_tb256,focused,on_policy_reference,73,73,1,3.124298095703125,3.453125,0.006487064645625651,,,318.5390625,0.6796875,0.94140625
on_policy_reference_e1_tb256,focused,on_policy_reference,74,74,1,2.32867431640625,2.59375,-0.048092058656038716,,,329.4140625,0.7421875,0.95703125
on_policy_reference_e1_tb256,focused,on_policy_reference,75,75,1,0.5901718139648438,4.34375,-0.06221825795364566,,,329.0625,0.7578125,0.96484375
on_policy_reference_e1_tb256,focused,on_policy_reference,76,76,1,0.48979949951171875,7.3125,-0.0584908730306779,,,318.296875,0.71484375,0.94140625
on_policy_reference_e1_tb256,focused,on_policy_reference,77,77,1,0.972564697265625,6.71875,-0.12989225835190155,,,380.56640625,0.625,0.94140625
on_policy_reference_e1_tb256,focused,on_policy_reference,78,78,1,1.402435302734375,4.4375,-0.00997217744588852,,,296.34375,0.73828125,0.98046875
on_policy_reference_e1_tb256,focused,on_policy_reference,79,79,1,0.8930282592773438,7.5625,-0.0062670374172739685,,,296.40625,0.671875,0.97265625
on_policy_reference_e1_tb256,focused,on_policy_reference,80,80,1,0.2636833190917969,6.84375,-0.025111263181315735,,,272.1171875,0.75,0.98046875
on_policy_reference_e1_tb256,focused,on_policy_reference,81,81,1,0.3247356414794922,13.25,-0.10104826632596087,,,283.75390625,0.7421875,0.95703125
on_policy_reference_e1_tb256,focused,on_policy_reference,82,82,1,0.5683326721191406,5.1875,-0.02311247997567989,,,258.1796875,0.6953125,0.98046875
on_policy_reference_e1_tb256,focused,on_policy_reference,83,83,1,0.6946182250976562,8.5625,-0.08326333382865414,,,302.12109375,0.796875,0.9765625
on_policy_reference_e1_tb256,focused,on_policy_reference,84,84,1,1.1029205322265625,8.5,-0.11400204489473253,,,361.96484375,0.53515625,0.93359375
on_policy_reference_e1_tb256,focused,on_policy_reference,85,85,1,0.8809547424316406,3.84375,0.019363289466127753,,,317.73046875,0.71875,0.9765625
on_policy_reference_e1_tb256,focused,on_policy_reference,86,86,1,0.48725128173828125,5.96875,-0.04251633383682929,,,270.0703125,0.75,0.98828125
on_policy_reference_e1_tb256,focused,on_policy_reference,87,87,1,0.6517791748046875,4.3125,-0.08133482703124173,,,264.42578125,0.7578125,0.984375
on_policy_reference_e1_tb256,focused,on_policy_reference,88,88,1,1.619384765625,2.8125,-0.05991049311705865,,,301.46484375,0.65625,0.9453125
on_policy_reference_e1_tb256,focused,on_policy_reference,89,89,1,2.052947998046875,3.875,-0.0985973697679583,,,260.59765625,0.74609375,0.98828125
on_policy_reference_e1_tb256,focused,on_policy_reference,90,90,1,1.77777099609375,3.171875,-0.1645714354235679,,,249.57421875,0.8671875,0.98828125
on_policy_reference_e1_tb256,focused,on_policy_reference,91,91,1,1.109893798828125,4.21875,-0.030695327906869352,,,340.484375,0.625,0.9609375
on_policy_reference_e1_tb256,focused,on_policy_reference,92,92,1,1.213653564453125,4.875,-0.18628741858992726,,,360.609375,0.6171875,0.9609375
on_policy_reference_e1_tb256,focused,on_policy_reference,93,93,1,1.307037353515625,3.46875,-0.11206219403538853,,,289.15234375,0.69921875,0.96484375
on_policy_reference_e1_tb256,focused,on_policy_reference,94,94,1,0.6337356567382812,8.3125,-0.08805805226438679,,,325.71875,0.828125,0.97265625
on_policy_reference_e1_tb256,focused,on_policy_reference,95,95,1,0.4438209533691406,6.21875,-0.15366618952248245,,,304.1953125,0.71484375,0.96875
on_policy_reference_e1_tb256,focused,on_policy_reference,96,96,1,0.3390846252441406,6.0625,-0.12103609519544989,,,318.62890625,0.8046875,0.96484375
on_policy_reference_e1_tb256,focused,on_policy_reference,97,97,1,0.2593727111816406,8.125,-0.3545913917478174,,,348.44921875,0.68359375,0.9765625
on_policy_reference_e1_tb256,focused,on_policy_reference,98,98,1,0.2105245590209961,9.375,-0.18512227782048285,,,359.14453125,0.69140625,0.96875
on_policy_reference_e1_tb256,focused,on_policy_reference,99,99,1,0.12854957580566406,7.0,0.0018981511966558173,,,341.95703125,0.6328125,0.9609375
on_policy_reference_e1_tb256,focused,on_policy_reference,100,100,1,0.1061248779296875,16.375,0.04056082258466631,,,363.5234375,0.71484375,0.921875
on_policy_reference_e1_tb256,focused,on_policy_reference,101,101,1,0.055954694747924805,16.75,0.00836385834554676,,,406.32421875,0.57421875,0.93359375
on_policy_reference_e1_tb256,focused,on_policy_reference,102,102,1,0.06171989440917969,6.5,-0.06822549500793684,,,275.3125,0.7421875,0.984375
on_policy_reference_e1_tb256,focused,on_policy_reference,103,103,1,0.056705474853515625,15.8125,-0.13515861831547227,,,318.50390625,0.734375,0.96484375
on_policy_reference_e1_tb256,focused,on_policy_reference,104,104,1,0.0745859146118164,13.8125,-0.03232030983781442,,,313.84375,0.79296875,0.97265625
on_policy_reference_e1_tb256,focused,on_policy_reference,105,105,1,0.08482074737548828,26.0,-0.2824335679470096,,,302.4453125,0.734375,0.98046875
on_policy_reference_e1_tb256,focused,on_policy_reference,106,106,1,0.08188152313232422,9.6875,-0.1896607307717204,,,356.93359375,0.70703125,0.94140625
on_policy_reference_e1_tb256,focused,on_policy_reference,107,107,1,0.09298181533813477,26.625,-0.4668730907724239,,,370.046875,0.69921875,0.91015625
on_policy_reference_e1_tb256,focused,on_policy_reference,108,108,1,0.09477996826171875,7.5,-0.028100562747567892,,,379.6015625,0.6875,0.9296875
on_policy_reference_e1_tb256,focused,on_policy_reference,109,109,1,0.0955038070678711,13.125,-0.10556654521496966,,,347.9375,0.578125,0.953125
on_policy_reference_e1_tb256,focused,on_policy_reference,110,110,1,0.0833902359008789,26.375,-0.39421472302637994,,,332.35546875,0.69140625,0.984375
on_policy_reference_e1_tb256,focused,on_policy_reference,111,111,1,0.0757284164428711,8.75,-0.20618220066535287,,,404.45703125,0.4921875,0.921875
on_policy_reference_e1_tb256,focused,on_policy_reference,112,112,1,0.07037830352783203,5.625,-0.03158130147494376,,,364.453125,0.6796875,0.9609375
on_policy_reference_e1_tb256,focused,on_policy_reference,113,113,1,0.06270790100097656,13.3125,-0.10162836832023459,,,309.69921875,0.7421875,0.9765625
on_policy_reference_e1_tb256,focused,on_policy_reference,114,114,1,0.06607532501220703,6.5625,-0.13702561303216498,,,356.4140625,0.671875,0.9609375
on_policy_reference_e1_tb256,focused,on_policy_reference,115,115,1,0.07715702056884766,3.84375,-0.13772497152967844,,,313.97265625,0.69921875,0.96484375
on_policy_reference_e1_tb256,focused,on_policy_reference,116,116,1,0.0793766975402832,9.75,-0.004062530191731639,,,381.6953125,0.57421875,0.9765625
on_policy_reference_e1_tb256,focused,on_policy_reference,117,117,1,0.08021068572998047,9.3125,-0.3266455239208881,,,294.3515625,0.7734375,0.953125
on_policy_reference_e1_tb256,focused,on_policy_reference,118,118,1,0.07713603973388672,11.3125,-0.1739695571413904,,,302.89453125,0.68359375,0.9765625
on_policy_reference_e1_tb256,focused,on_policy_reference,119,119,1,0.06751441955566406,10.8125,-0.3249041563467472,,,327.08203125,0.72265625,0.97265625
on_policy_reference_e1_tb256,focused,on_policy_reference,120,120,1,0.10523700714111328,5.4375,-0.1515481893438846,,,321.01171875,0.5390625,0.96484375
on_policy_reference_e1_tb256,focused,on_policy_reference,121,121,1,0.07778549194335938,18.625,-0.29198373478720896,,,352.26953125,0.69140625,0.95703125
on_policy_reference_e1_tb256,focused,on_policy_reference,122,122,1,0.08818912506103516,12.8125,-0.3273027314571664,,,448.34765625,0.4921875,0.90234375
on_policy_reference_e1_tb256,focused,on_policy_reference,123,123,1,0.0837559700012207,10.25,-0.19456798996543512,,,392.51953125,0.7109375,0.93359375
on_policy_reference_e1_tb256,focused,on_policy_reference,124,124,1,0.08637523651123047,15.5,-0.40054819468059577,,,279.125,0.7890625,0.984375
on_policy_reference_e1_tb256,focused,on_policy_reference,125,125,1,0.06723499298095703,6.90625,-0.2139432599360589,,,312.8125,0.66796875,0.9921875
on_policy_reference_e1_tb256,focused,on_policy_reference,126,126,1,0.06768274307250977,6.15625,-0.04095701657934114,,,306.78125,0.77734375,0.99609375
on_policy_reference_e1_tb256,focused,on_policy_reference,127,127,1,0.05701637268066406,4.625,-0.08058365601755213,,,349.875,0.66796875,0.94921875
on_policy_reference_e1_tb256,focused,on_policy_reference,128,128,1,0.06077861785888672,21.25,-0.23946864347090013,,,351.01171875,0.6640625,0.96875
on_policy_reference_e1_tb256,focused,on_policy_reference,129,129,1,0.049950599670410156,15.4375,-0.23654550195715274,,,321.984375,0.6953125,0.95703125
on_policy_reference_e1_tb256,focused,on_policy_reference,130,130,1,0.05177879333496094,6.0,-0.013274098339024931,,,311.203125,0.734375,0.9765625
on_policy_reference_e1_tb256,focused,on_policy_reference,131,131,1,0.07230663299560547,9.5625,-0.1822671652153076,,,325.36328125,0.60546875,0.95703125
on_policy_reference_e1_tb256,focused,on_policy_reference,132,132,1,0.0580902099609375,7.125,-0.5171830460385536,,,334.16796875,0.65234375,0.92578125
on_policy_reference_e1_tb256,focused,on_policy_reference,133,133,1,0.0828704833984375,14.0,-0.7304981660563499,,,300.21875,0.68359375,0.9765625
on_policy_reference_e1_tb256,focused,on_policy_reference,134,134,1,0.08321905136108398,13.25,0.12562256836827146,,,307.0390625,0.58984375,0.98046875
on_policy_reference_e1_tb256,focused,on_policy_reference,135,135,1,0.07360506057739258,9.4375,-0.06427473004441708,,,299.5,0.73828125,0.9609375
on_policy_reference_e1_tb256,focused,on_policy_reference,136,136,1,0.08144569396972656,13.8125,-0.05898372223600745,,,292.58203125,0.765625,0.98828125
on_policy_reference_e1_tb256,focused,on_policy_reference,137,137,1,0.0915975570678711,17.0,-0.37794841374852695,,,293.515625,0.703125,0.94921875
on_policy_reference_e1_tb256,focused,on_policy_reference,138,138,1,0.09861278533935547,10.9375,-0.33649436467385385,,,305.75,0.7109375,0.98046875
on_policy_reference_e1_tb256,focused,on_policy_reference,139,139,1,0.08469867706298828,13.125,-0.47948507142427843,,,288.26953125,0.703125,0.96875
on_policy_reference_e1_tb256,focused,on_policy_reference,140,140,1,0.052867889404296875,22.0,-0.43185231497045606,,,385.828125,0.546875,0.9609375
on_policy_reference_e1_tb256,focused,on_policy_reference,141,141,1,0.06658458709716797,19.875,-0.49276973446831107,,,347.0078125,0.67578125,0.94140625
on_policy_reference_e1_tb256,focused,on_policy_reference,142,142,1,0.05833864212036133,9.1875,-0.13534264940972207,,,324.3671875,0.71875,0.96875
on_policy_reference_e1_tb256,focused,on_policy_reference,143,143,1,0.05167579650878906,9.0625,-0.49435194523539394,,,287.05859375,0.7265625,0.953125
on_policy_reference_e1_tb256,focused,on_policy_reference,144,144,1,0.05294036865234375,18.25,-0.45122800846002065,,,349.92578125,0.60546875,0.97265625
on_policy_reference_e1_tb256,focused,on_policy_reference,145,145,1,0.0537266731262207,16.75,-0.34029302274939255,,,327.9609375,0.67578125,0.97265625
