run,grpo_step,optimizer_step,loss,grad_norm,token_entropy,train_answer_accuracy,train_format_accuracy
final_on_policy_lr4e-5_400_full_eval,24,24,-0.0064966296922648326,0.25,0.15230751037597656,0.609375,0.9453125
final_on_policy_lr4e-5_400_full_eval,25,25,-0.006999001670919824,0.2578125,0.1498889923095703,0.6328125,0.9375
final_on_policy_lr4e-5_400_full_eval,26,26,-0.00867695665510837,0.1728515625,0.17924880981445312,0.62890625,0.9375
final_on_policy_lr4e-5_400_full_eval,27,27,-0.007420204266963992,0.1435546875,0.1394023895263672,0.703125,0.953125
final_on_policy_lr4e-5_400_full_eval,28,28,-0.006616076330828946,0.275390625,0.15852928161621094,0.7109375,0.98046875
final_on_policy_lr4e-5_400_full_eval,29,29,-0.0027578577428357676,0.2099609375,0.18438720703125,0.64453125,0.9375
final_on_policy_lr4e-5_400_full_eval,30,30,-0.00530793611324043,0.1865234375,0.13379287719726562,0.62890625,0.94140625
final_on_policy_lr4e-5_400_full_eval,31,31,-0.00393225879088277,0.158203125,0.14310836791992188,0.7265625,0.9296875
final_on_policy_lr4e-5_400_full_eval,32,32,-0.010457042921188986,0.21875,0.1376056671142578,0.7109375,0.93359375
final_on_policy_lr4e-5_400_full_eval,33,33,0.00024950688384706154,0.255859375,0.14479637145996094,0.703125,0.93359375
final_on_policy_lr4e-5_400_full_eval,34,34,-0.004656634922866942,0.19140625,0.14491844177246094,0.65234375,0.94921875
final_on_policy_lr4e-5_400_full_eval,35,35,-0.009599541124771349,0.171875,0.1527729034423828,0.63671875,0.93359375
final_on_policy_lr4e-5_400_full_eval,36,36,-0.001720124844723614,0.212890625,0.15753555297851562,0.60546875,0.94140625
final_on_policy_lr4e-5_400_full_eval,37,37,-0.003982914255175274,0.2158203125,0.15673828125,0.6640625,0.93359375
final_on_policy_lr4e-5_400_full_eval,38,38,-0.005735258489949047,0.2119140625,0.1531658172607422,0.66796875,0.953125
final_on_policy_lr4e-5_400_full_eval,39,39,-0.001213467006891733,0.2099609375,0.12038421630859375,0.75390625,0.91796875
final_on_policy_lr4e-5_400_full_eval,40,40,-0.0032004504937503953,0.14453125,0.15215778350830078,0.65625,0.91015625
final_on_policy_lr4e-5_400_full_eval,41,41,-0.005886111955987872,0.2109375,0.13153076171875,0.7578125,0.9375
final_on_policy_lr4e-5_400_full_eval,42,42,-0.004068565518537071,0.16796875,0.1540813446044922,0.6796875,0.93359375
final_on_policy_lr4e-5_400_full_eval,43,43,-0.004504767790422193,0.1904296875,0.1244964599609375,0.7265625,0.91796875
final_on_policy_lr4e-5_400_full_eval,44,44,-0.002661730715772137,0.18359375,0.14627456665039062,0.65234375,0.91796875
final_on_policy_lr4e-5_400_full_eval,45,45,0.0004965006519341841,0.1728515625,0.14486122131347656,0.6015625,0.8984375
final_on_policy_lr4e-5_400_full_eval,46,46,-0.0027639460568025243,0.1865234375,0.14397239685058594,0.57421875,0.87109375
final_on_policy_lr4e-5_400_full_eval,47,47,0.0011926335682801437,0.2041015625,0.13295459747314453,0.703125,0.95703125
final_on_policy_lr4e-5_400_full_eval,48,48,-0.0035880169307347387,0.08935546875,0.11728477478027344,0.62890625,0.90234375
final_on_policy_lr4e-5_400_full_eval,49,49,-0.004613996410625987,0.1982421875,0.13081932067871094,0.64453125,0.94140625
final_on_policy_lr4e-5_400_full_eval,50,50,-0.003925043201888911,0.154296875,0.14966678619384766,0.703125,0.90625
final_on_policy_lr4e-5_400_full_eval,51,51,-0.0018328317783016246,0.12060546875,0.12467193603515625,0.75390625,0.9375
