run,grpo_step,answer_accuracy,format_accuracy,avg_response_token_length,rollout_seconds
final_on_policy_lr4e-5_400_full_eval,172,0.87109375,0.95703125,417.1171875,10.938358306884766
final_on_policy_lr4e-5_400_full_eval,173,0.734375,0.953125,461.546875,11.85164475440979
final_on_policy_lr4e-5_400_full_eval,174,0.7890625,0.91015625,474.96484375,12.125736713409424
final_on_policy_lr4e-5_400_full_eval,175,0.75,0.8984375,456.03125,11.924283742904663
final_on_policy_lr4e-5_400_full_eval,176,0.7109375,0.88671875,457.8828125,11.396308660507202
final_on_policy_lr4e-5_400_full_eval,177,0.7421875,0.9140625,460.9609375,11.990297079086304
final_on_policy_lr4e-5_400_full_eval,178,0.7265625,0.890625,481.26953125,12.861849308013916
final_on_policy_lr4e-5_400_full_eval,179,0.75,0.95703125,406.0390625,11.1255042552948
final_on_policy_lr4e-5_400_full_eval,180,0.80078125,0.93359375,457.15625,11.77562928199768
final_on_policy_lr4e-5_400_full_eval,181,0.65625,0.859375,508.125,12.66017460823059
final_on_policy_lr4e-5_400_full_eval,182,0.83203125,0.94921875,421.50390625,11.360685348510742
final_on_policy_lr4e-5_400_full_eval,183,0.88671875,0.98046875,373.20703125,10.01167345046997
final_on_policy_lr4e-5_400_full_eval,184,0.796875,0.9453125,422.24609375,10.93913984298706
final_on_policy_lr4e-5_400_full_eval,185,0.83984375,0.97265625,370.54296875,10.536577939987183
final_on_policy_lr4e-5_400_full_eval,186,0.8125,0.91015625,454.9921875,11.85971975326538
final_on_policy_lr4e-5_400_full_eval,187,0.84765625,0.92578125,404.83984375,10.710989475250244
final_on_policy_lr4e-5_400_full_eval,188,0.7578125,0.9140625,458.30859375,11.977264165878296
final_on_policy_lr4e-5_400_full_eval,189,0.8203125,0.94921875,466.58984375,12.081854104995728
final_on_policy_lr4e-5_400_full_eval,190,0.73046875,0.921875,472.9921875,11.891627788543701
final_on_policy_lr4e-5_400_full_eval,191,0.78125,0.9296875,460.88671875,25.228996992111206
final_on_policy_lr4e-5_400_full_eval,192,0.921875,0.96484375,377.0234375,10.232736587524414
final_on_policy_lr4e-5_400_full_eval,193,0.828125,0.9765625,397.16796875,10.618125915527344
final_on_policy_lr4e-5_400_full_eval,194,0.7421875,0.921875,428.62109375,11.191264152526855
final_on_policy_lr4e-5_400_full_eval,195,0.69140625,0.93359375,477.55859375,11.965788125991821
final_on_policy_lr4e-5_400_full_eval,196,0.65625,0.8828125,540.19921875,12.987339973449707
final_on_policy_lr4e-5_400_full_eval,197,0.78125,0.9375,443.73046875,11.52046823501587
final_on_policy_lr4e-5_400_full_eval,198,0.6640625,0.9140625,483.1640625,12.246946573257446
final_on_policy_lr4e-5_400_full_eval,199,0.65234375,0.94921875,480.95703125,12.194678783416748
final_on_policy_lr4e-5_400_full_eval,200,0.78515625,0.93359375,456.21875,11.832995891571045
final_on_policy_lr4e-5_400_full_eval,201,0.73046875,0.96875,419.7265625,11.271917581558228
final_on_policy_lr4e-5_400_full_eval,202,0.7890625,0.921875,419.71875,11.636090755462646
final_on_policy_lr4e-5_400_full_eval,203,0.79296875,0.94921875,418.44921875,11.113077878952026
final_on_policy_lr4e-5_400_full_eval,204,0.7421875,0.88671875,533.12109375,13.249082565307617
final_on_policy_lr4e-5_400_full_eval,205,0.6796875,0.953125,475.71484375,11.970879793167114
final_on_policy_lr4e-5_400_full_eval,206,0.7109375,0.87890625,469.34765625,11.785170793533325
final_on_policy_lr4e-5_400_full_eval,207,0.80078125,0.96875,397.8984375,10.711169719696045
final_on_policy_lr4e-5_400_full_eval,208,0.7890625,0.9453125,430.609375,11.44697642326355
final_on_policy_lr4e-5_400_full_eval,209,0.8125,0.984375,394.42578125,10.4889554977417
final_on_policy_lr4e-5_400_full_eval,210,0.765625,0.9453125,452.30078125,27.567918300628662
