run,use_std_normalization,grpo_step,rollout_answer_accuracy,rollout_format_accuracy,avg_response_token_length
std_normalization,True,171,0.61328125,0.73046875,415.16015625
std_normalization,True,172,0.67578125,0.74609375,391.10546875
std_normalization,True,173,0.640625,0.77734375,386.37890625
std_normalization,True,174,0.59375,0.765625,408.83984375
std_normalization,True,175,0.62109375,0.76171875,375.6328125
std_normalization,True,176,0.6015625,0.7421875,389.1796875
std_normalization,True,177,0.5078125,0.6640625,459.1953125
std_normalization,True,178,0.59375,0.7578125,381.58984375
std_normalization,True,179,0.59765625,0.7109375,389.34375
std_normalization,True,180,0.625,0.796875,342.99609375
std_normalization,True,181,0.53515625,0.64453125,457.7734375
std_normalization,True,182,0.5703125,0.7109375,410.828125
std_normalization,True,183,0.63671875,0.8203125,310.3515625
std_normalization,True,184,0.6640625,0.7734375,346.48828125
std_normalization,True,185,0.640625,0.8203125,304.1484375
std_normalization,True,186,0.640625,0.76953125,355.37890625
std_normalization,True,187,0.76171875,0.83203125,301.9296875
std_normalization,True,188,0.625,0.74609375,388.37109375
std_normalization,True,189,0.58203125,0.76953125,384.1015625
std_normalization,True,190,0.53515625,0.703125,439.046875
std_normalization,True,191,0.51953125,0.6953125,451.90625
std_normalization,True,192,0.78515625,0.890625,282.92578125
std_normalization,True,193,0.65234375,0.796875,346.55859375
std_normalization,True,194,0.6328125,0.77734375,356.95703125
std_normalization,True,195,0.54296875,0.734375,426.15625
std_normalization,True,196,0.47265625,0.61328125,526.47265625
std_normalization,True,197,0.671875,0.75,386.6484375
std_normalization,True,198,0.54296875,0.64453125,479.31640625
std_normalization,True,199,0.46875,0.65625,472.30078125
std_normalization,True,200,0.6484375,0.7421875,393.625
no_std_normalization,False,1,0.015625,0.1796875,305.171875
no_std_normalization,False,2,0.1484375,0.703125,154.375
no_std_normalization,False,3,0.21484375,0.77734375,136.484375
no_std_normalization,False,4,0.28125,0.671875,192.91796875
no_std_normalization,False,5,0.27734375,0.67578125,216.97265625
no_std_normalization,False,6,0.2265625,0.62890625,285.12109375
no_std_normalization,False,7,0.34375,0.66796875,239.78125
no_std_normalization,False,8,0.3046875,0.640625,255.85546875
no_std_normalization,False,9,0.30078125,0.67578125,237.90234375
no_std_normalization,False,10,0.26953125,0.62109375,253.78515625
no_std_normalization,False,11,0.265625,0.6640625,257.53125
no_std_normalization,False,12,0.4609375,0.82421875,191.14453125
no_std_normalization,False,13,0.453125,0.80859375,229.83203125
no_std_normalization,False,14,0.43359375,0.7421875,262.83203125
no_std_normalization,False,15,0.328125,0.71484375,293.93359375
no_std_normalization,False,16,0.4140625,0.76171875,277.6328125
no_std_normalization,False,17,0.41796875,0.75390625,283.5546875
no_std_normalization,False,18,0.38671875,0.7265625,308.37890625
no_std_normalization,False,19,0.56640625,0.77734375,280.31640625
no_std_normalization,False,20,0.4296875,0.81640625,272.2578125
no_std_normalization,False,21,0.5,0.8125,274.3984375
no_std_normalization,False,22,0.44921875,0.83984375,286.0
no_std_normalization,False,23,0.4921875,0.859375,278.42578125
no_std_normalization,False,24,0.46875,0.8125,282.51171875
no_std_normalization,False,25,0.48828125,0.87109375,234.8671875
no_std_normalization,False,26,0.54296875,0.88671875,262.52734375
no_std_normalization,False,27,0.58984375,0.91796875,239.3125
no_std_normalization,False,28,0.6171875,0.8828125,256.1015625
no_std_normalization,False,29,0.55859375,0.9140625,283.2578125
no_std_normalization,False,30,0.5625,0.9296875,282.06640625
no_std_normalization,False,31,0.62890625,0.9296875,261.2421875
no_std_normalization,False,32,0.640625,0.9140625,263.34765625
no_std_normalization,False,33,0.63671875,0.90625,256.44921875
no_std_normalization,False,34,0.578125,0.8984375,298.9296875
no_std_normalization,False,35,0.5078125,0.86328125,322.18359375
no_std_normalization,False,36,0.47265625,0.87109375,305.5703125
no_std_normalization,False,37,0.6015625,0.89453125,304.921875
no_std_normalization,False,38,0.65234375,0.92578125,304.87109375
no_std_normalization,False,39,0.6484375,0.92578125,252.5546875
no_std_normalization,False,40,0.609375,0.91015625,324.04296875
no_std_normalization,False,41,0.69140625,0.9296875,281.796875
no_std_normalization,False,42,0.6328125,0.921875,318.1796875
no_std_normalization,False,43,0.7109375,0.9609375,283.59375
no_std_normalization,False,44,0.61328125,0.953125,282.49609375
no_std_normalization,False,45,0.58984375,0.91796875,343.21875
no_std_normalization,False,46,0.53515625,0.9609375,308.4375
no_std_normalization,False,47,0.6796875,0.98046875,243.546875
no_std_normalization,False,48,0.58203125,0.91796875,369.0
no_std_normalization,False,49,0.609375,0.96875,313.46484375
no_std_normalization,False,50,0.72265625,0.98828125,279.98046875
no_std_normalization,False,51,0.6875,0.92578125,322.16796875
no_std_normalization,False,52,0.80859375,0.953125,299.25390625
no_std_normalization,False,53,0.75390625,0.9453125,318.34765625
no_std_normalization,False,54,0.62109375,0.96875,268.71484375
no_std_normalization,False,55,0.80859375,0.96875,309.01953125
no_std_normalization,False,56,0.65234375,0.9296875,327.51171875
no_std_normalization,False,57,0.72265625,0.98046875,262.82421875
no_std_normalization,False,58,0.6953125,0.94921875,315.66015625
no_std_normalization,False,59,0.7109375,0.9765625,290.23828125
no_std_normalization,False,60,0.55859375,0.95703125,320.08203125
no_std_normalization,False,61,0.75390625,0.98828125,270.53515625
no_std_normalization,False,62,0.76171875,0.97265625,285.17578125
no_std_normalization,False,63,0.7109375,0.984375,235.140625
no_std_normalization,False,64,0.59765625,0.9375,319.0703125
no_std_normalization,False,65,0.70703125,0.9609375,281.90625
no_std_normalization,False,66,0.765625,0.9765625,281.60546875
no_std_normalization,False,67,0.62109375,0.94921875,344.40625
no_std_normalization,False,68,0.68359375,0.96484375,305.71875
no_std_normalization,False,69,0.8125,0.9765625,287.97265625
no_std_normalization,False,70,0.7109375,0.9609375,307.00390625
no_std_normalization,False,71,0.48046875,0.9375,382.859375
no_std_normalization,False,72,0.71484375,0.9609375,296.28515625
no_std_normalization,False,73,0.6796875,0.94140625,318.5390625
no_std_normalization,False,74,0.7421875,0.95703125,329.4140625
no_std_normalization,False,75,0.7578125,0.96484375,329.0625
no_std_normalization,False,76,0.71484375,0.94140625,318.296875
no_std_normalization,False,77,0.625,0.94140625,380.56640625
no_std_normalization,False,78,0.73828125,0.98046875,296.34375
no_std_normalization,False,79,0.671875,0.97265625,296.40625
no_std_normalization,False,80,0.75,0.98046875,272.1171875
no_std_normalization,False,81,0.7421875,0.95703125,283.75390625
no_std_normalization,False,82,0.6953125,0.98046875,258.1796875
no_std_normalization,False,83,0.796875,0.9765625,302.12109375
no_std_normalization,False,84,0.53515625,0.93359375,361.96484375
no_std_normalization,False,85,0.71875,0.9765625,317.73046875
no_std_normalization,False,86,0.75,0.98828125,270.0703125
no_std_normalization,False,87,0.7578125,0.984375,264.42578125
no_std_normalization,False,88,0.65625,0.9453125,301.46484375
no_std_normalization,False,89,0.74609375,0.98828125,260.59765625
no_std_normalization,False,90,0.8671875,0.98828125,249.57421875
no_std_normalization,False,91,0.625,0.9609375,340.484375
no_std_normalization,False,92,0.6171875,0.9609375,360.609375
no_std_normalization,False,93,0.69921875,0.96484375,289.15234375
no_std_normalization,False,94,0.828125,0.97265625,325.71875
no_std_normalization,False,95,0.71484375,0.96875,304.1953125
no_std_normalization,False,96,0.8046875,0.96484375,318.62890625
no_std_normalization,False,97,0.68359375,0.9765625,348.44921875
no_std_normalization,False,98,0.69140625,0.96875,359.14453125
no_std_normalization,False,99,0.6328125,0.9609375,341.95703125
no_std_normalization,False,100,0.71484375,0.921875,363.5234375
no_std_normalization,False,101,0.57421875,0.93359375,406.32421875
no_std_normalization,False,102,0.7421875,0.984375,275.3125
no_std_normalization,False,103,0.734375,0.96484375,318.50390625
no_std_normalization,False,104,0.79296875,0.97265625,313.84375
no_std_normalization,False,105,0.734375,0.98046875,302.4453125
no_std_normalization,False,106,0.70703125,0.94140625,356.93359375
no_std_normalization,False,107,0.69921875,0.91015625,370.046875
no_std_normalization,False,108,0.6875,0.9296875,379.6015625
no_std_normalization,False,109,0.578125,0.953125,347.9375
no_std_normalization,False,110,0.69140625,0.984375,332.35546875
no_std_normalization,False,111,0.4921875,0.921875,404.45703125
no_std_normalization,False,112,0.6796875,0.9609375,364.453125
no_std_normalization,False,113,0.7421875,0.9765625,309.69921875
no_std_normalization,False,114,0.671875,0.9609375,356.4140625
no_std_normalization,False,115,0.69921875,0.96484375,313.97265625
no_std_normalization,False,116,0.57421875,0.9765625,381.6953125
no_std_normalization,False,117,0.7734375,0.953125,294.3515625
no_std_normalization,False,118,0.68359375,0.9765625,302.89453125
no_std_normalization,False,119,0.72265625,0.97265625,327.08203125
no_std_normalization,False,120,0.5390625,0.96484375,321.01171875
no_std_normalization,False,121,0.69140625,0.95703125,352.26953125
no_std_normalization,False,122,0.4921875,0.90234375,448.34765625
no_std_normalization,False,123,0.7109375,0.93359375,392.51953125
no_std_normalization,False,124,0.7890625,0.984375,279.125
no_std_normalization,False,125,0.66796875,0.9921875,312.8125
no_std_normalization,False,126,0.77734375,0.99609375,306.78125
no_std_normalization,False,127,0.66796875,0.94921875,349.875
no_std_normalization,False,128,0.6640625,0.96875,351.01171875
no_std_normalization,False,129,0.6953125,0.95703125,321.984375
no_std_normalization,False,130,0.734375,0.9765625,311.203125
no_std_normalization,False,131,0.60546875,0.95703125,325.36328125
no_std_normalization,False,132,0.65234375,0.92578125,334.16796875
no_std_normalization,False,133,0.68359375,0.9765625,300.21875
no_std_normalization,False,134,0.58984375,0.98046875,307.0390625
no_std_normalization,False,135,0.73828125,0.9609375,299.5
no_std_normalization,False,136,0.765625,0.98828125,292.58203125
no_std_normalization,False,137,0.703125,0.94921875,293.515625
no_std_normalization,False,138,0.7109375,0.98046875,305.75
no_std_normalization,False,139,0.703125,0.96875,288.26953125
no_std_normalization,False,140,0.546875,0.9609375,385.828125
no_std_normalization,False,141,0.67578125,0.94140625,347.0078125
no_std_normalization,False,142,0.71875,0.96875,324.3671875
no_std_normalization,False,143,0.7265625,0.953125,287.05859375
no_std_normalization,False,144,0.60546875,0.97265625,349.92578125
no_std_normalization,False,145,0.67578125,0.97265625,327.9609375
no_std_normalization,False,146,0.625,0.97265625,313.94921875
no_std_normalization,False,147,0.5859375,0.96875,308.265625
no_std_normalization,False,148,0.6953125,0.95703125,343.30859375
no_std_normalization,False,149,0.61328125,0.94140625,380.92578125
no_std_normalization,False,150,0.6640625,0.9609375,352.82421875
no_std_normalization,False,151,0.62890625,0.96875,344.4453125
no_std_normalization,False,152,0.6640625,0.96875,366.3125
no_std_normalization,False,153,0.78515625,0.97265625,285.80859375
no_std_normalization,False,154,0.6953125,0.9609375,349.53515625
no_std_normalization,False,155,0.67578125,0.95703125,308.046875
no_std_normalization,False,156,0.7421875,0.91796875,322.51953125
no_std_normalization,False,157,0.63671875,0.8515625,457.87109375
no_std_normalization,False,158,0.73828125,0.890625,360.53125
no_std_normalization,False,159,0.54296875,0.87890625,429.41015625
no_std_normalization,False,160,0.53515625,0.81640625,462.08984375
no_std_normalization,False,161,0.69921875,0.8984375,386.53515625
no_std_normalization,False,162,0.734375,0.95703125,286.953125
no_std_normalization,False,163,0.7421875,0.8828125,368.328125
no_std_normalization,False,164,0.625,0.86328125,394.87109375
no_std_normalization,False,165,0.6015625,0.8515625,360.3984375
no_std_normalization,False,166,0.68359375,0.91015625,353.45703125
no_std_normalization,False,167,0.671875,0.91796875,349.890625
no_std_normalization,False,168,0.671875,0.9375,307.6796875
no_std_normalization,False,169,0.71875,0.9453125,340.671875
no_std_normalization,False,170,0.6640625,0.94921875,316.4765625
no_std_normalization,False,171,0.75,0.96484375,313.34375
no_std_normalization,False,172,0.74609375,0.94921875,325.3671875
no_std_normalization,False,173,0.67578125,0.94140625,345.46484375
no_std_normalization,False,174,0.5859375,0.9453125,358.62890625
no_std_normalization,False,175,0.66796875,0.9296875,328.4921875
no_std_normalization,False,176,0.59375,0.9453125,331.16796875
no_std_normalization,False,177,0.58984375,0.90625,357.4609375
no_std_normalization,False,178,0.62890625,0.9453125,342.21875
no_std_normalization,False,179,0.703125,0.92578125,294.71875
no_std_normalization,False,180,0.78515625,0.93359375,336.0703125
no_std_normalization,False,181,0.578125,0.875,362.7578125
no_std_normalization,False,182,0.72265625,0.94921875,321.12890625
no_std_normalization,False,183,0.765625,0.96875,275.3359375
no_std_normalization,False,184,0.64453125,0.890625,304.61328125
no_std_normalization,False,185,0.7734375,0.93359375,276.09765625
no_std_normalization,False,186,0.78125,0.9375,342.5859375
no_std_normalization,False,187,0.828125,0.95703125,293.94921875
no_std_normalization,False,188,0.703125,0.94921875,325.4609375
no_std_normalization,False,189,0.625,0.9296875,344.546875
no_std_normalization,False,190,0.671875,0.9140625,365.89453125
no_std_normalization,False,191,0.6875,0.9375,367.9609375
no_std_normalization,False,192,0.72265625,0.9609375,278.265625
no_std_normalization,False,193,0.671875,0.9375,301.640625
no_std_normalization,False,194,0.62109375,0.91796875,321.40234375
no_std_normalization,False,195,0.59375,0.87890625,378.37890625
no_std_normalization,False,196,0.4765625,0.890625,406.04296875
no_std_normalization,False,197,0.65234375,0.92578125,322.0
no_std_normalization,False,198,0.59765625,0.86328125,387.48046875
no_std_normalization,False,199,0.40625,0.890625,357.4375
no_std_normalization,False,200,0.69921875,0.91015625,332.65234375
